date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-09-19,94850.96826799412,1077,583,380,12,36370.21000000001,43062.537703999995,16645.079468999997
2021-09-20,575893.3359018478,1521,533,340,16,53754.29,40592.575761,17870.886531999997
2021-09-21,454062.99782527593,1445,551,302,30,51855.23999999999,43075.385631,17054.361549
2021-09-22,503725.90856489306,1437,531,338,17,51243.19,42340.310925,17381.183975
2021-09-23,434340.44928244245,1362,520,280,20,46448.42,42225.874620999995,17491.002738
2021-09-24,512078.3725597019,1021,437,250,13,35527.65,41114.366553,17962.256758
2021-09-25,202929.68476293737,776,467,276,19,26220.829999999998,43383.332553,15514.513713
2021-09-26,199911.7481351094,1048,551,312,14,33747.42999999999,41969.635319,15386.476171999999
2021-09-27,722074.2583842252,1399,514,297,22,50867.86,38185.313502000005,19005.563070999997
2021-09-28,553878.9345552586,1382,522,323,16,49860.90999999999,41563.89470299999,20587.29137
2021-09-29,612390.9986494185,1446,519,292,13,46677.78,42949.584483,18965.530262999997
2021-09-30,833395.5226075333,1295,495,327,27,41333.240000000005,40017.750465,18891.987703
2021-10-01,404439.46028893185,1003,436,367,18,33049.829999999994,37056.394142000005,22580.552364000003
2021-10-02,168551.61248027583,796,466,421,10,25616.73,40396.62741200001,21487.440398
2021-10-03,80166.75227867662,1072,494,416,20,33391.380000000005,41198.035097,19563.566749999998
2021-10-04,460617.1442199501,1444,330,265,21,48315.280000000006,26856.101848000002,12833.280213000002
2021-10-05,554340.0125317668,1531,676,475,22,44838.42,48104.44273,22905.872423
2021-10-06,578240.880685064,1485,783,520,27,43636.66,53734.115721,23401.742028000004
2021-10-07,583744.2106747183,1335,879,476,22,40566.590000000004,54661.777646,24824.011495000002
2021-10-08,563364.0810222584,1152,860,453,19,34250.28999999999,52015.864869,25744.280417
2021-10-09,165895.5443310406,896,845,358,15,26851.629999999997,60014.887893,24153.409499999994
2021-10-10,209651.034464697,1011,887,459,29,32507.489999999998,55703.135286000004,21033.522739000007
2021-10-11,668663.4171184637,1275,799,351,36,45155.69,50891.624588,21501.761561000007
2021-10-12,564519.0981825432,1371,874,351,25,43316.28,52433.89932599999,21995.201211
2021-10-13,575763.7320248683,1504,802,287,34,43154.49999999999,54116.310651,21341.882245
2021-10-14,704330.2623852189,1249,895,347,23,37529.16,61299.34702100001,20420.058338000003
2021-10-15,742496.441086912,1102,860,282,32,31992.85,62568.240727,19220.183599999997
2021-10-16,269380.96146464546,846,880,345,17,24113.069999999996,65112.816608,19833.828252
2021-10-17,104787.88080662281,1033,946,391,19,29440.920000000006,65389.626548,19806.674781
2021-10-18,733021.6680136498,1548,832,486,27,46887.80000000002,60763.11552299999,22479.576598999996
2021-10-19,594342.7463225406,1546,869,608,31,49799.04,60781.513076,27345.864392000003
2021-10-20,787727.0263222506,1612,909,532,41,48609.04,62265.322664,26214.630007999996
2021-10-21,653827.8683435891,1429,813,516,24,43229.020000000004,62390.81017399999,26783.559523000004
2021-10-22,592597.337553668,1046,715,409,16,35206.299999999996,62590.700234,26980.446632000003
2021-10-23,267859.262773724,894,761,369,14,28471.569999999996,67106.854939,27570.941692
2021-10-24,165495.64318047737,1034,810,433,25,33669.27,68455.56070599999,27197.514352
2021-10-25,764647.3680370599,1659,780,464,39,58948.21000000001,66912.31499500001,28207.340033999993
2021-10-26,571309.0609773375,1526,948,450,28,56182.47,71668.856518,25368.994006999998
2021-10-27,736577.0156507159,1439,970,431,23,53778.26,73324.67912399999,24111.989533
2021-10-28,609053.3310126709,1283,963,429,32,50272.399999999994,79646.850813,24474.953383
2021-10-29,889799.6669283132,946,912,411,27,38491.17,80819.974579,26167.058673
2021-10-30,289233.4390812887,729,818,455,14,24107.559999999998,78980.852133,29313.251304999998
2021-10-31,188754.56134783302,731,883,469,21,25019.059999999998,82883.76502999998,29244.822707999996
2021-11-01,475865.52220351406,1116,1038,423,28,38620.15,84517.499733,27245.976721000003
2021-11-02,714860.5574648116,1445,897,530,36,50020.9,78250.879781,33947.151691
2021-11-03,665426.0248405321,1593,923,511,35,57505.91,75784.100545,34066.81950400001
2021-11-04,692628.5095160403,1587,886,490,27,54607.74999999999,75589.50290600001,33195.788109
2021-11-05,788096.2558515506,1194,860,387,37,45649.19,79538.24611000001,26081.528663000005
2021-11-06,326522.6931923225,888,867,330,24,34495.08,83962.678711,23041.620322999996
2021-11-07,186138.20234961604,1300,882,425,24,48025.70999999999,82162.96074899999,26285.864736
2021-11-08,930513.2071232824,1859,971,442,33,74955.35,76885.885201,28683.545274999997
2021-11-09,769338.1147867473,1819,1032,510,34,71760.85,79123.849457,31974.619652999998
2021-11-10,921111.9030455971,1752,931,466,39,66542.98000000001,80482.688315,31367.199099999998
2021-11-11,894561.3701556202,1618,796,454,38,61880.64,81352.41992700001,28385.233134000002
2021-11-12,823398.4030242321,1347,856,399,23,51019.94000000001,84338.47941300001,27995.330776000003
